class_match,completed,cost_usd,failed_tool_calls,file_match,function_match,gold_classes,gold_files,gold_functions,gold_line_ranges,input_tokens,instance_id,line_iou,line_match,locator_llm_calls,output_tokens,paper_file_jaccard,paper_function_jaccard,predicted_classes,predicted_files,predicted_functions,predicted_line_ranges,predicted_locations,reflection_turns,repo,request_ids,requested_model,returned_models,run_id,stop_reasons,summarizer_llm_calls,termination_reason,token_usage_incomplete,tool_calls,tool_original_chars,tool_result_chars,tool_returned_chars,total_llm_calls,total_tokens,trajectory_path,truncated_tool_calls,wall_clock_ms
True,True,,0,True,True,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.deferred_to_data'],"[(748, 754)]",36283,django__django-15814,0.5,True,7,1869,1.0,1.0,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.deferred_to_data'],"[(747, 751)]","[{'end_line': 751, 'file_path': 'django/db/models/sql/query.py', 'start_line': 747}]",1,django/django,"['5f872200-fe4a-4f7d-8cb0-671ec3d61a5b', 'a57254c9-db42-4663-9f72-94dae79028a1', '46ae5e24-9e45-46e1-b5e1-8f6d2e54d991', '725ddcaf-3821-4628-8440-a6ccf7e401b4', '5433c5dd-d583-41f3-83ba-a7a8cbd80087', '6b80ace2-9b8d-4a0c-bb1c-2b8600b6081e', '724aa130-54ce-4842-8008-da9aeb01cc1b']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-15814-0-d52575377e,{'stop': 7},0,completed,False,5,7217,7217,7217,7,38152,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-15814/0/trajectory.jsonl,0,114820.47
True,True,,0,True,True,['django.forms.formsets.BaseFormSet'],['django/forms/formsets.py'],['django.forms.formsets.BaseFormSet.empty_form'],"[(257, 271)]",200080,django__django-16041,0.8,True,8,1610,1.0,1.0,['django.forms.formsets.BaseFormSet'],['django/forms/formsets.py'],['django.forms.formsets.BaseFormSet.empty_form'],"[(258, 269)]","[{'end_line': 269, 'file_path': 'django/forms/formsets.py', 'start_line': 258}]",1,django/django,"['933a407a-db6d-43c7-95a5-a46fa2c12eba', 'a0a9fb8c-e5aa-41af-9cfd-0585a3a53e5f', '5b041e14-2304-44d8-a9ac-1c4504c120b3', 'cb8a7a88-5b90-4171-9457-65a2125c4af2', '458b3800-3d89-4a1e-a318-59d04b23dcd2', 'e388c25a-6ebd-45ba-9d73-531db0cb44b7', 'ba65832b-ba6d-4927-b11a-2c3b8fa3ea47', 'a7f946db-18a4-45e7-ad3d-7402e3863d68']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-16041-0-d27b69f0f0,{'stop': 8},0,completed,False,6,293815,96821,96821,8,201690,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-16041/0/trajectory.jsonl,3,129287.401
True,True,,0,True,True,[],['django/utils/numberformat.py'],['django.utils.numberformat.format'],"[(25, 32)]",41168,django__django-16046,0.0,False,9,2347,1.0,1.0,[],['django/utils/numberformat.py'],['django.utils.numberformat.format'],"[(71, 71)]","[{'end_line': 71, 'file_path': 'django/utils/numberformat.py', 'start_line': 71}]",1,django/django,"['881cad6e-a534-4af6-8473-78952c0712e0', '2511d2d3-faf4-4ff0-b7a1-a167d6d9f172', '06feed94-f95e-4774-a73e-513acc27c076', '9e80a479-bc01-4732-ace1-07ac4f138ccb', 'f791737d-ba21-4b21-a8d6-847ea805d9a0', '5269ac84-aaa8-42ed-a585-41f137d5c53b', '61b393fd-8b76-492b-ace8-a93de9dc11a4', 'e798ec74-ec12-4d25-b7e1-4da810f830c2', '41be190d-324b-4786-adca-3549f770721e', 'fdb64280-5146-4e51-b7c9-0741c11e7d99']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-16046-0-18a6139b73,{'stop': 10},1,completed,False,7,10598,10598,10598,10,43515,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-16046/0/trajectory.jsonl,0,132765.392
False,True,,0,False,False,['django.forms.boundfield.BoundField'],['django/forms/boundfield.py'],"['django.forms.boundfield.BoundField.as_text', 'django.forms.boundfield.BoundField.as_textarea', 'django.forms.boundfield.BoundField.as_widget']","[(96, 112)]",66668,django__django-16229,0.0,False,10,2545,0.0,0.0,['django.db.models.fields.__init__.Field'],['django/db/models/fields/__init__.py'],['django.db.models.fields.__init__.Field.formfield'],"[(1014, 1017)]","[{'end_line': 1017, 'file_path': 'django/db/models/fields/__init__.py', 'start_line': 1014}]",1,django/django,"['932c64da-61ce-4de4-a297-541da2594b87', '94b2ad63-26f8-4b7d-90d9-1f6d4cd04e34', '4aaab91a-ce3a-465f-9b6f-917e49bf24bc', '15be4a5a-0c76-4bbd-b581-ac8a219f694a', '779676fb-b764-4850-b15e-4990d5dd2e06', '016a5101-41b8-4b79-9c6b-5ca5b9263a2c', 'f2a8a63c-a4fb-4bb3-a096-1bbc2d65d010', 'fcd750f5-d6a9-4e8f-afa8-b862f83ec734', 'd5aa6756-b419-4dc8-81b3-34431fa19f02', '4fb28d47-cc51-48c3-858d-46a097166f57', '8ffcd384-7ef9-4a1b-aa13-4644302bbd58']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-16229-0-322e58afce,{'stop': 11},1,completed,False,8,15776,15776,15776,11,69213,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-16229/0/trajectory.jsonl,0,143732.152
True,True,,0,True,True,['lib.matplotlib.legend.Legend'],['lib/matplotlib/legend.py'],['lib.matplotlib.legend.Legend.__init__'],"[(286, 294), (345, 352), (541, 549)]",116460,matplotlib__matplotlib-23913,0.1724137931034483,False,14,2532,1.0,1.0,['lib.matplotlib.legend.Legend'],['lib/matplotlib/legend.py'],['lib.matplotlib.legend.Legend.__init__'],"[(344, 345), (540, 540), (285, 289)]","[{'end_line': 345, 'file_path': 'lib/matplotlib/legend.py', 'start_line': 344}, {'end_line': 540, 'file_path': 'lib/matplotlib/legend.py', 'start_line': 540}, {'end_line': 289, 'file_path': 'lib/matplotlib/legend.py', 'start_line': 285}]",1,matplotlib/matplotlib,"['e268c5d5-9b10-4fe6-ac74-a5b8eef58675', '8af430af-797d-45b9-968d-4d79649cc7e7', 'c6ff6390-9141-48c5-9a53-05f178f274af', '0c769a28-ee18-4b2b-83d6-ad98be14c3e8', '3b0be17b-5b05-4d61-9b80-10bbffc743db', '88277b15-8524-4a62-bfa1-7f959054954a', '7a80c55f-8ed7-4806-8ec0-69f5b4c23b75', '15c17851-46a1-472d-9aac-20d4146a77d3', 'cdfde136-142e-4a38-bc8d-aa1180112495', '53d4b31d-7136-4f9c-a7aa-8b4ddc82196b', 'fb1e3089-b5e3-4a97-b959-d23430c81d35', 'fcd98e7d-1887-4d92-ad3a-61322759a64d', 'a338c25e-d461-4b57-afaa-870adb018d7a', 'fe67c959-21c4-49ad-8531-5c719c64418a', '3c880af0-c922-4070-9aa6-09932a7acfb1']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-matplotlib__matplotlib-23913-0-dfa036d58d,{'stop': 15},1,completed,False,12,33707,33707,33707,15,118992,experiments/name_to_definition/runs/claude35_full14_baseline/matplotlib__matplotlib-23913/0/trajectory.jsonl,0,130900.389
True,True,,0,True,True,['lib.matplotlib.backends.backend_ps.RendererPS'],['lib/matplotlib/backends/backend_ps.py'],['lib.matplotlib.backends.backend_ps.RendererPS.draw_text'],"[(665, 673)]",31832,matplotlib__matplotlib-23964,0.2222222222222222,True,3,1859,1.0,1.0,['lib.matplotlib.backends.backend_ps.RendererPS'],['lib/matplotlib/backends/backend_ps.py'],['lib.matplotlib.backends.backend_ps.RendererPS.draw_text'],"[(668, 669)]","[{'end_line': 669, 'file_path': 'lib/matplotlib/backends/backend_ps.py', 'start_line': 668}]",1,matplotlib/matplotlib,"['9fc1ccd1-8912-478c-860b-62622088cefe', 'b9395175-bf74-467c-9727-3d6c22368b13', '85ff35fa-f71a-4f99-b196-8bebaf471f06']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-matplotlib__matplotlib-23964-0-8608c6baa2,{'stop': 3},0,completed,False,10,24471,24471,24471,3,33691,experiments/name_to_definition/runs/claude35_full14_baseline/matplotlib__matplotlib-23964/0/trajectory.jsonl,0,67048.408
False,True,,0,True,False,['lib.mpl_toolkits.axes_grid1.axes_grid.CbarAxesBase'],['lib/mpl_toolkits/axes_grid1/axes_grid.py'],"['lib.mpl_toolkits.axes_grid1.axes_grid.CbarAxesBase.__init__', 'lib.mpl_toolkits.axes_grid1.axes_grid.CbarAxesBase.colorbar', 'lib.mpl_toolkits.axes_grid1.axes_grid._tick_only']","[(1, 6), (8, 27)]",382694,matplotlib__matplotlib-26020,0.19230769230769232,False,23,10223,1.0,0.3333333333333333,[],['lib/mpl_toolkits/axes_grid1/axes_grid.py'],['lib.mpl_toolkits.axes_grid1.axes_grid._tick_only'],"[(13, 17)]","[{'end_line': 17, 'file_path': 'lib/mpl_toolkits/axes_grid1/axes_grid.py', 'start_line': 13}]",1,matplotlib/matplotlib,"['1459cdad-5856-49cd-a47c-2b63adf3e901', 'a50adb87-ed4b-431d-b436-b2579c9e52c4', '9d0842f8-64f5-4f6d-a54b-24f468b946ea', '06744214-9bf3-4e81-8882-96d4508d96f0', '6816b26e-220e-40b2-a245-655d15b41236', '3f9716a1-b3ad-48bd-9b40-993bb6732586', 'ea7f074e-6292-42b9-807b-ef3733b77eef', '59345323-a1f6-4c85-87ac-0b2a9a2db77d', '02e3c10b-a8e8-481e-ac9e-3a33fee0fbc9', '8a887042-f797-41e9-98ee-c67016a8dbb9', '80d5ea07-bf7f-40cb-8855-e0c5d06c84f2', '2af529d0-35c3-4b91-a358-b6978822e379', '66a6e6ed-cc76-4fbe-a80e-d0546817ae8c', '348fffdc-844e-4ddf-9321-2793cc4814cb', '1735ec43-07be-4426-b4c4-d452772cba83', 'd8bd7e5b-ba8b-4e31-8945-e1658765e8f5', 'f1634f41-7439-4fa6-b5fc-f6f632c5f044', '8a85020a-91e3-4a20-a846-170776cd4432', '46896055-07e0-44f6-b25f-6cb8197f51f0', '4607a082-30b4-4f87-acd1-7a96b2fd0a2a', 'b68ea572-4e8d-478d-8b93-4aec4f14b876', 'b2a8a9af-6ed8-4425-906f-31834a57be7d', '8c2d5223-9c0f-4e2f-860b-5f5c0fb8dde9', '7a24507d-e569-4893-8504-624a4b188f7e', '082c08a9-e173-4dbb-a2c7-7cc7b1e0b403', '6bb2e0b4-bff6-4eee-9535-7d9b8d7994df']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-matplotlib__matplotlib-26020-0-dc8f9ff901,{'stop': 26},3,completed,False,21,95338,70333,70333,26,392917,experiments/name_to_definition/runs/claude35_full14_baseline/matplotlib__matplotlib-26020/0/trajectory.jsonl,1,354291.57
True,True,,0,True,True,['requests.sessions.SessionRedirectMixin'],['requests/sessions.py'],['requests.sessions.SessionRedirectMixin.resolve_redirects'],"[(168, 178)]",44673,psf__requests-1963,0.0,False,7,1641,1.0,1.0,['requests.sessions.SessionRedirectMixin'],['requests/sessions.py'],['requests.sessions.SessionRedirectMixin.resolve_redirects'],"[(91, 91), (102, 102), (183, 184)]","[{'end_line': 91, 'file_path': 'requests/sessions.py', 'start_line': 91}, {'end_line': 102, 'file_path': 'requests/sessions.py', 'start_line': 102}, {'end_line': 184, 'file_path': 'requests/sessions.py', 'start_line': 183}]",1,psf/requests,"['12745d95-776d-4bfc-a543-b585f0621333', 'e9cf3dfe-eb95-4536-ad06-1eae60ad19a8', '46d9cc87-582c-49d8-963d-dbc3bd6bfdaf', 'd7d60efe-4e6d-4882-97b5-fa6d9cfa110e', 'b3f510e1-7b83-444b-b2f8-38e3a7ce7458', 'cfbce568-35d1-46ad-9f86-fcbe2ae78d85', '093807a8-3c68-406e-9163-132b14118c5a']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-psf__requests-1963-0-00071d7f2c,{'stop': 7},0,completed,False,5,24506,24506,24506,7,46314,experiments/name_to_definition/runs/claude35_full14_baseline/psf__requests-1963/0/trajectory.jsonl,0,59089.715
True,True,,0,True,True,['requests.sessions.Session'],['requests/sessions.py'],['requests.sessions.Session.request'],"[(13, 19), (425, 431)]",86457,psf__requests-2317,0.07142857142857142,False,7,1314,1.0,1.0,['requests.sessions.Session'],['requests/sessions.py'],['requests.sessions.Session.request'],"[(428, 428)]","[{'end_line': 428, 'file_path': 'requests/sessions.py', 'start_line': 428}]",1,psf/requests,"['56568cb2-e53c-44f2-877c-55f48685fd0a', '46b8eb58-d8a5-470a-9372-d8bc036201df', 'c5156a6e-4cd9-4e81-8ae4-836a4d6cb2a6', 'e3b7233a-6f01-45ca-a2c5-997ee38fdfc6', '0a9ae966-490f-4040-a2a8-471ab0491eed', '88ccbaf9-75fe-4095-afe7-8f0a2b7774d2', 'fb4a42d9-ce87-4d91-ab3a-5a5387923bf0']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-psf__requests-2317-0-2d11de1ec3,{'stop': 7},0,completed,False,5,82137,36896,36896,7,87771,experiments/name_to_definition/runs/claude35_full14_baseline/psf__requests-2317/0/trajectory.jsonl,1,59100.102
False,True,,0,True,False,[],['requests/utils.py'],"['requests.utils.iter_slices', 'requests.utils.stream_decode_response_unicode']","[(358, 377)]",95084,psf__requests-3362,0.17391304347826086,False,7,1930,0.5,0.3333333333333333,['requests.models.Response'],"['requests/models.py', 'requests/utils.py']","['requests.models.Response.iter_content', 'requests.utils.stream_decode_response_unicode']","[(696, 698), (362, 365)]","[{'end_line': 365, 'file_path': 'requests/utils.py', 'start_line': 362}, {'end_line': 698, 'file_path': 'requests/models.py', 'start_line': 696}]",1,psf/requests,"['f8477d3b-1035-422b-b128-e0ff027822b9', 'd931fc95-aa40-4d76-a331-68a086ea61b9', 'bac11887-2aa9-41a3-b62e-f6b7b299d417', '6efba7cc-6d00-46b5-a018-fd2b6fcc47f9', 'f2b4a01f-5ec1-44ff-87f2-f50ff2e6dd88', '849b3b94-218d-4528-abc0-9a26fc6244ff', '6e83e95b-cedf-44f4-844b-bc72894494fb']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-psf__requests-3362-0-3b52ded71e,{'stop': 7},0,completed,False,5,129918,57141,57141,7,97014,experiments/name_to_definition/runs/claude35_full14_baseline/psf__requests-3362/0/trajectory.jsonl,2,67405.811
True,True,,0,True,False,['requests.models.Request'],['requests/models.py'],"['requests.models.Request.deregister_hook', 'requests.models.Request.register_hook']","[(462, 471)]",127600,psf__requests-863,0.4,True,11,2100,1.0,0.5,['requests.models.Request'],['requests/models.py'],['requests.models.Request.register_hook'],"[(463, 466)]","[{'end_line': 466, 'file_path': 'requests/models.py', 'start_line': 463}]",1,psf/requests,"['b05754e3-41ce-4429-b165-999b3d8a1526', '1ccccae0-0fbe-4637-b971-964fc6525485', 'ad0ec802-93e6-4fa8-a7da-cc5f48988620', 'f7420067-fa74-4c20-8cc2-0c46ec579d21', '12fd7cfb-2885-4892-a2e9-d53fadf20abf', '452f0d46-a639-4bab-99d2-fc1ac3b39de2', '0b7ba99c-4162-4978-932e-92e6f17780cb', 'bad15495-04bb-465a-9a92-c12785290f5d', 'bcbe8c76-d239-4ff3-9bc0-2ddeff426e88', 'aad951b4-f4a5-420a-a857-8bc05b2781a1', 'd054b2e4-acdc-4c0a-be90-050527dacd77', '5a31fdfb-394f-48d6-ab99-a8ff454ce1af']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-psf__requests-863-0-398dda1421,{'stop': 12},1,completed,False,9,212450,56061,56061,12,129700,experiments/name_to_definition/runs/claude35_full14_baseline/psf__requests-863/0/trajectory.jsonl,2,89933.66
True,True,,0,True,False,[],['xarray/core/formatting.py'],['xarray.core.formatting.inline_variable_array_repr'],"[(261, 268)]",106193,pydata__xarray-4248,0.0,False,18,5242,1.0,0.0,[],['xarray/core/formatting.py'],"['xarray.core.formatting._get_col_items', 'xarray.core.formatting._summarize_coord_multiindex', 'xarray.core.formatting.summarize_variable']","[(271, 291), (342, 356), (294, 296)]","[{'end_line': 291, 'file_path': 'xarray/core/formatting.py', 'start_line': 271}, {'end_line': 356, 'file_path': 'xarray/core/formatting.py', 'start_line': 342}, {'end_line': 296, 'file_path': 'xarray/core/formatting.py', 'start_line': 294}]",1,pydata/xarray,"['bf1d9558-3dc6-4621-b7a7-7a5ded7ebc7e', 'd56f4a85-7749-4aae-bdea-56b9d8040c81', '687570fc-5c05-4475-a560-ae1b2dafd520', '79dcce8f-2145-4241-996a-09e8a14ada1c', 'cebb4b3d-7210-4f67-ade5-0ebc3aec8ddb', '0ff4823e-2b4e-47a8-b6f2-a743f73f61cf', '5cc99a44-1cb0-4708-8dbe-bc1bc4df410e', '3a88e912-9551-486d-956d-7d51647a4e13', '8dd0fe49-7393-4c3b-8f4c-72368f2587ba', '387431c3-7e3b-475d-9a83-0a4f2cc88a5c', 'ac331aee-65fb-4f79-b452-9a0ed211b621', 'd45641eb-6c38-442f-9ff3-fd3e4492806f', 'f080e954-6708-436c-8423-08d275d61f6c', '26d3e711-93bb-42a8-8781-c2f0bab00374', '242040e3-7721-44d3-9aa0-31691926aebe', 'e22345b9-5388-4d1b-9c90-2e162e39f4fa', '1bbcea25-0875-4a97-bf2f-8a36843afb50', '4d63faaf-2fc4-4461-9773-4f78f1ce7c1e', '08458f39-c15b-4c16-adcd-560db9899f73', '3e220c92-7385-44ec-9aeb-fa6f0581283c']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-pydata__xarray-4248-1-c6ac8fdf17,{'stop': 20},2,completed,False,16,18298,18298,18298,20,111435,experiments/name_to_definition/runs/claude35_full14_baseline/pydata__xarray-4248/1/trajectory.jsonl,0,175976.948
True,True,,0,True,False,['xarray.core.groupby.GroupBy'],['xarray/core/groupby.py'],"['xarray.core.groupby.GroupBy.__iter__', 'xarray.core.groupby.GroupBy.__repr__']","[(436, 442)]",60021,pydata__xarray-5131,0.5555555555555556,True,6,905,1.0,0.5,['xarray.core.groupby.GroupBy'],['xarray/core/groupby.py'],['xarray.core.groupby.GroupBy.__repr__'],"[(438, 444)]","[{'end_line': 444, 'file_path': 'xarray/core/groupby.py', 'start_line': 438}]",1,pydata/xarray,"['ce675e83-556a-43ec-aed1-bb73570228e2', '957a383d-4e98-4f8c-9cd5-71fb8e2b4161', '28c67526-6666-4959-9575-a3da034db582', 'fcc5e554-1310-470f-a4bc-f1caf1671290', 'c5307377-0bcf-4864-a647-06d265a89e6e', '6f09303a-0401-4be5-bcf3-769935b96e3c']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-pydata__xarray-5131-0-47de6ca124,{'stop': 6},0,completed,False,4,102395,42027,42027,6,60926,experiments/name_to_definition/runs/claude35_full14_baseline/pydata__xarray-5131/0/trajectory.jsonl,1,58559.959
True,True,,0,True,False,[],['src/_pytest/python.py'],"['src._pytest.python._showfixtures_main', 'src._pytest.python.write_docstring']","[(1342, 1360)]",24374,pytest-dev__pytest-5221,0.5789473684210527,True,7,1143,1.0,0.5,[],['src/_pytest/python.py'],['src._pytest.python._showfixtures_main'],"[(1345, 1355)]","[{'end_line': 1355, 'file_path': 'src/_pytest/python.py', 'start_line': 1345}]",1,pytest-dev/pytest,"['b69fcff2-ea87-419f-9f66-67f397301257', 'd24f57ea-e125-4a54-8380-5c6b964a4d47', '725ecf01-3e31-45e4-9dc0-194eb8a17be3', 'c4809daa-a3dc-4ea1-a34f-b5a375a47407', 'e7eed0c2-ff31-49b0-a9dd-50ce4baf08b4', 'f55be2b3-e38f-4d63-a1e7-724203ae4a42', '67e453de-e9b6-474a-a462-cb433b0bf8d8']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-pytest-dev__pytest-5221-0-623f53fbe9,{'stop': 7},0,completed,False,5,4610,4610,4610,7,25517,experiments/name_to_definition/runs/claude35_full14_baseline/pytest-dev__pytest-5221/0/trajectory.jsonl,0,54290.366
True,True,,0,True,True,[],['sklearn/utils/_set_output.py'],['sklearn.utils._set_output._wrap_in_pandas_container'],"[(34, 40), (55, 60)]",40608,scikit-learn__scikit-learn-25747,0.3333333333333333,False,7,1258,1.0,0.5,[],['sklearn/utils/_set_output.py'],"['sklearn.utils._set_output._wrap_data_with_container', 'sklearn.utils._set_output._wrap_in_pandas_container']","[(55, 60), (130, 134)]","[{'end_line': 60, 'file_path': 'sklearn/utils/_set_output.py', 'start_line': 55}, {'end_line': 134, 'file_path': 'sklearn/utils/_set_output.py', 'start_line': 130}]",1,scikit-learn/scikit-learn,"['6d6e6a5e-1a38-4823-b3c0-963a38193d56', '33a42293-4960-45e9-bd8f-e563e3dcb9db', 'b1ad71ce-b0bc-412b-a9d9-40c4d913a202', '42179b6d-e0f0-44b4-8f5b-06acac1df83a', 'de7308e6-f3b8-43b8-a268-e3624164fa9d', 'ea91dd74-2bb4-4117-9b23-42c15cc6e6fa', 'fc0b7871-eb15-49d2-a008-e8c98a16d691']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-scikit-learn__scikit-learn-25747-0-21f054f0ee,{'stop': 7},0,completed,False,5,6042,6042,6042,7,41866,experiments/name_to_definition/runs/claude35_full14_baseline/scikit-learn__scikit-learn-25747/0/trajectory.jsonl,0,79800.032
True,True,,0,True,True,['sphinx.domains.std.Cmdoption'],['sphinx/domains/std.py'],['sphinx.domains.std.Cmdoption.handle_signature'],"[(43, 49), (197, 207)]",105992,sphinx-doc__sphinx-8506,0.35294117647058826,False,12,3914,1.0,1.0,['sphinx.domains.std.Cmdoption'],['sphinx/domains/std.py'],['sphinx.domains.std.Cmdoption.handle_signature'],"[(46, 46), (186, 212)]","[{'end_line': 46, 'file_path': 'sphinx/domains/std.py', 'start_line': 46}, {'end_line': 212, 'file_path': 'sphinx/domains/std.py', 'start_line': 186}]",1,sphinx-doc/sphinx,"['7af1e926-c75a-40e7-afa7-1e39a91ff87a', 'abf2ce01-8336-4438-9f99-8a54117c439c', '8e8acd3e-1259-4a52-a78a-d1f6f9c75ea3', 'c1ba73dd-0f31-4851-9502-45903cf0d22e', '4920f22a-52bb-4c80-b81c-1cbaaf011a1d', 'b452c2fb-cf63-4e45-9d6a-39717575fe98', '5ec6f0ca-aa73-43d7-89d2-6c110d7f83c8', '1f6a592d-8fa2-4de0-aeee-dbd2d5dc70c2', 'b10b3b00-0758-4bb2-80b7-f8845b399254', '7a010f92-d596-466f-b322-48ed5996137c', '0e9592cd-361b-48fc-90bc-af9b74ddcf82', '6185c6bd-cf86-4a12-86e6-25160e2b98a5', 'd93a37f0-dfbe-4971-995e-853f3f9a4c51']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-sphinx-doc__sphinx-8506-0-9ec21d60f9,{'stop': 13},1,completed,False,10,41441,41441,41441,13,109906,experiments/name_to_definition/runs/claude35_full14_baseline/sphinx-doc__sphinx-8506/0/trajectory.jsonl,0,135883.211
True,True,,0,True,False,['sympy.matrices.matrices.MatrixProperties'],['sympy/matrices/matrices.py'],"['sympy.matrices.matrices.MatrixProperties._eval_is_upper_hessenberg', 'sympy.matrices.matrices.MatrixProperties._eval_values', 'sympy.matrices.matrices.MatrixProperties.is_upper', 'sympy.matrices.matrices.MatrixProperties.is_zero']","[(641, 647), (1112, 1118)]",79168,sympy__sympy-12454,0.21428571428571427,False,6,1144,1.0,0.25,['sympy.matrices.matrices.MatrixProperties'],['sympy/matrices/matrices.py'],['sympy.matrices.matrices.MatrixProperties.is_upper'],"[(1113, 1115)]","[{'end_line': 1115, 'file_path': 'sympy/matrices/matrices.py', 'start_line': 1113}]",1,sympy/sympy,"['8168392a-a17a-4edc-810b-eb9d4653ad22', '3cd71ed0-6273-4657-b02b-52036d9848c4', '1294d9f8-a82b-4a45-a0c4-ec1d2b67ccc3', '66a60a27-bfb4-4299-b010-894341d90536', 'b1828d07-482a-45f2-a915-2beae6c47a8b', '2365b087-a99e-4d3d-b5fc-c4ff37a3eee9']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-sympy__sympy-12454-0-78d395274f,{'stop': 6},0,completed,False,4,162020,34905,34905,6,80312,experiments/name_to_definition/runs/claude35_full14_baseline/sympy__sympy-12454/0/trajectory.jsonl,1,113104.681
False,True,,0,False,False,['sympy.core.operations.AssocOp'],['sympy/core/operations.py'],['sympy.core.operations.AssocOp._eval_evalf'],"[(332, 338), (343, 349)]",222547,sympy__sympy-13146,0.0,False,13,5308,0.0,0.0,['sympy.core.numbers.Float'],['sympy/core/numbers.py'],"['sympy.core.numbers.Float.__eq__', 'sympy.core.numbers.Float.__hash__', 'sympy.core.numbers.Float._hashable_content']","[(1089, 1090), (1337, 1338), (1249, 1276)]","[{'end_line': 1090, 'file_path': 'sympy/core/numbers.py', 'start_line': 1089}, {'end_line': 1338, 'file_path': 'sympy/core/numbers.py', 'start_line': 1337}, {'end_line': 1276, 'file_path': 'sympy/core/numbers.py', 'start_line': 1249}]",1,sympy/sympy,"['ba54b4c5-6669-4859-b396-4fe8efa4321d', 'a25b0e83-a5a9-4fe7-9525-f6afd160f6e3', '1585711e-ec4c-428b-8111-c97fcbe1dcf7', '9554d853-f520-46c1-beea-3936af092f49', 'fe96c222-cc04-4b6d-a7a1-c8b00c422125', '19a048a1-1155-4694-82c4-0d0c16bb76a7', '594aa15f-74f5-4081-bda0-ddb108670a63', 'd99114c1-22a5-4ac8-9900-e8aab5486729', '3f183bbc-1008-4fb4-8367-418b70978948', '58df0f36-e640-4162-aea3-a1bed225e079', '21e4db95-416f-4bec-9161-3d873a7b4f34', '5bdf0def-6863-44fa-ab65-a48aef2569a0', 'b7d4ab68-7fb3-48ef-84c0-76e47eb83f7b', '91d178e0-6704-4171-8bd3-70aa213c43b0']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-sympy__sympy-13146-0-e8a65edbf7,{'stop': 14},1,completed,False,11,221861,77591,77591,14,227855,experiments/name_to_definition/runs/claude35_full14_baseline/sympy__sympy-13146/0/trajectory.jsonl,2,221480.709
True,True,,0,True,True,['sympy.matrices.common.MatrixShaping'],['sympy/matrices/common.py'],"['sympy.matrices.common.MatrixShaping._eval_col_insert', 'sympy.matrices.common.MatrixShaping.entry']","[(86, 92)]",43148,sympy__sympy-13647,0.14285714285714285,True,4,1365,1.0,1.0,['sympy.matrices.common.MatrixShaping'],['sympy/matrices/common.py'],"['sympy.matrices.common.MatrixShaping._eval_col_insert', 'sympy.matrices.common.MatrixShaping.entry']","[(89, 89)]","[{'end_line': 89, 'file_path': 'sympy/matrices/common.py', 'start_line': 89}]",1,sympy/sympy,"['f7ac5aeb-24de-46e3-ab4a-69a1febbc9b7', 'd25d43aa-1da2-429b-bda2-55816a630bfe', 'dc9cf805-0935-40f9-9524-c9673be4ff3a', '06481f3f-55e5-4ef8-af04-af4fecd34157']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-sympy__sympy-13647-0-2ef9b0b849,{'stop': 4},0,completed,False,2,90836,37007,37007,4,44513,experiments/name_to_definition/runs/claude35_full14_baseline/sympy__sympy-13647/0/trajectory.jsonl,1,191499.206
